,title,sponsers,texts
61,A bill to remove the sunset provision of section 203 of Public Law 105-384 and for other purposes.,"[Sen. Wyden, Ron [D-OR], Sen. Murray, Patty [D-WA], Sen. Merkley, Jeff [D-OR], Sen. Feinstein, Dianne [D-CA], None, Sen. Cantwell, Maria [D-WA]]","(Sec.1)This bill makes permanent the authority of Washington, Oregon, and California to adopt and enforce state laws governing fishing and processing in the exclusive economic zone adjacent to their state in any Dungeness crab fishery for which there is no fishery management plan in effect under the Magnuson-Stevens Fishery Conservation and Management Act."
62,January 8th National Memorial Act,"[Sen. Flake, Jeff [R-AZ], Sen. McCain, John [R-AZ]]","This bill directs the Department of the Interior to establish the January 8th National Memorial in Tucson, Arizona, as an affiliated area of the National Park System in commemoration of the shooting of Congresswoman Gabrielle Giffords and 18 others in Tuscon on January 8, 2011. "
63,Tribal Labor Sovereignty Act of 2017,"[Sen. Daines, Steve [R-MT], Sen. Flake, Jeff [R-AZ], Sen. Gardner, Cory [R-CO], Sen. Johnson, Ron [R-WI], Sen. Lankford, James [R-OK], Sen. McCain, John [R-AZ], Sen. Thune, John [R-SD], Sen. Wicker, Roger F. [R-MS], Sen. Risch, James E. [R-ID], Sen. Rounds, Mike  [R-SD], Sen. Inhofe, James M. [R-OK], Sen. Fischer, Deb [R-NE], None, Sen. Moran, Jerry [R-KS]]","This bill amends the National Labor Relations Act (NLRA) to exclude Native American tribes and tribal enterprises and institutions on tribal land from requirements for employers under the NLRA. (Currently under the NLRA, employers may not engage in unfair labor practices and must allow employees to form unions, engage in collective bargaining, and take collective action.)"
64,Safe and Affordable Drugs from Canada Act of 2017,"[Sen. McCain, John [R-AZ]]","This bill amends the Federal Food, Drug, and Cosmetic Act (FFDCA) to require the Department of Health and Human Services (HHS) to promulgate regulations within 180 days permitting individuals to import a prescription drug purchased from an approved Canadian pharmacy that:"
65,Presidential Conflicts of Interest Act of 2017,"[Sen. Warren, Elizabeth [D-MA], Sen. Cardin, Benjamin L. [D-MD], Sen. Feinstein, Dianne [D-CA], Sen. Coons, Christopher A. [D-DE], Sen. Durbin, Richard J. [D-IL], Sen. Merkley, Jeff [D-OR], Sen. Leahy, Patrick J. [D-VT], Sen. Murray, Patty [D-WA], Sen. Wyden, Ron [D-OR], Sen. Reed, Jack [D-RI], Sen. Stabenow, Debbie [D-MI], Sen. Brown, Sherrod [D-OH], Sen. Casey, Robert P., Jr. [D-PA], Sen. Klobuchar, Amy [D-MN], Sen. Whitehouse, Sheldon [D-RI], Sen. Bennet, Michael F. [D-CO], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Franken, Al [D-MN], Sen. Blumenthal, Richard [D-CT], Sen. Baldwin, Tammy [D-WI], Sen. Markey, Edward J. [D-MA], Sen. Booker, Cory A. [D-NJ], Sen. Peters, Gary C. [D-MI], Sen. Duckworth, Tammy [D-IL], Sen. Murphy, Christopher [D-CT], Sen. Schumer, Charles E. [D-NY], Sen. Udall, Tom [D-NM], Sen. Van Hollen, Chris [D-MD], Sen. Hirono, Mazie K. [D-HI], Sen. Cantwell, Maria [D-WA]]",This bill requires the President and Vice President to submit to Congress and the Office of Government Ethics a disclosure of financial interests.
66,Retired Pay Restoration Act,"[Sen. Heller, Dean [R-NV], Sen. Tester, Jon [D-MT], Sen. Blunt, Roy [R-MO], Sen. Whitehouse, Sheldon [D-RI], Sen. Menendez, Robert [D-NJ], Sen. Baldwin, Tammy [D-WI], Sen. Markey, Edward J. [D-MA], Sen. Stabenow, Debbie [D-MI], Sen. Murkowski, Lisa [R-AK], Sen. Van Hollen, Chris [D-MD], Sen. Klobuchar, Amy [D-MN], Sen. Boozman, John [R-AR]]"," This bill allows the receipt of both military retired pay and veterans' disability compensation with respect to any service-connected disability (under current law, such a disability must be rated as not less than 50% disabling)."
67,IRGC Terrorist Designation Act,"[Sen. Cruz, Ted [R-TX], Sen. Inhofe, James M. [R-OK], Sen. Graham, Lindsey [R-SC]]",This bill expresses the sense of Congress that Iran's Revolutionary Guard Corps (IRGC) meets the criteria for designation as a foreign terrorist organization and should be so designated by the Department of State. 
68,Muslim Brotherhood Terrorist Designation Act of 2017,"[Sen. Cruz, Ted [R-TX], Sen. Hatch, Orrin G. [R-UT], Sen. Inhofe, James M. [R-OK], Sen. Roberts, Pat [R-KS], Sen. Johnson, Ron [R-WI]]","This bill requires the Department of State to report to specified congressional committees within 60 days indicating: (1) whether the Muslim Brotherhood meets the criteria for designation as a foreign terrorist organization; and (2) if not, which criteria have not been met."
69,Regulatory Responsibility for our Economy Act of 2017,"[Sen. Flake, Jeff [R-AZ], Sen. Crapo, Mike [R-ID], Sen. Wicker, Roger F. [R-MS], Sen. Rubio, Marco [R-FL], None, Sen. Roberts, Pat [R-KS]]"," This bill sets forth general requirements for the federal regulatory system, including the protection of public health, welfare, safety, and the environment, the promotion of predictability in the regulatory process, and the consideration of benefits and costs of regulations. "
70,"A bill to designate the mountain at the Devils Tower National Monument, Wyoming, as Devils Tower, and for other purposes.","[None, Sen. Enzi, Michael B. [R-WY]]",NA
71,Emergency Citrus Disease Response Act,"[Sen. Nelson, Bill [D-FL], Sen. Rubio, Marco [R-FL], Sen. Cornyn, John [R-TX]]",This bill amends the Internal Revenue Code to allow a full deduction in the current taxable year of the cost of replanting lost or damaged citrus plants. The taxpayer must own an equity interest of at least 50% in such replanted plants and may deduct costs paid or incurred through the date that is ten years after the enactment of this bill. 
72,Counterterror Alert Act of 2017,"[Sen. Nelson, Bill [D-FL]]","This bill requires the Department of Justice (DOJ) to include in the national instant criminal background check system (i.e., the NICS database) information about an individual who is or has been under a federal terrorism investigation."
73,Housing Accountability Act of 2017,"[None, Sen. Nelson, Bill [D-FL]]","This bill amends the United States Housing Act of 1937 to require an entity receiving low-income housing assistance payments for existing public housing units to maintain decent, safe, and sanitary conditions for any structure covered under a payment contract."
74,Marine Oil Spill Prevention Act,"[Sen. Nelson, Bill [D-FL], Sen. Markey, Edward J. [D-MA], Sen. Schatz, Brian [D-HI]]",This bill address issues related to preventing and responding to oil spills.
75,Arla Harrell Act,"[Sen. McCaskill, Claire [D-MO], Sen. Blunt, Roy [R-MO], Sen. Nelson, Bill [D-FL]]","This bill requires the Department of Veterans Affairs (VA) to reconsider and make a new determination regarding each claim for disability compensation in connection with exposure to mustard gas or lewisite during active military, naval, or air service during World War II that was denied before this bill's enactment. The VA or the Department of Defense (DOD): (1) shall presume that a veteran experienced full-body exposure to mustard gas or lewisite unless proven otherwise; and (2) may not use information contained in the DOD and VA Chemical Biological Warfare Database or any list of known testing sites for mustard gas or lewisite maintained by the VA or DOD as the sole reason for determining that the veteran did not experience such exposure."
76,CORE Act,"[Sen. Capito, Shelley Moore [R-WV]]","This bill amends the Internal Revenue Code to require at least 5% of the new markets tax credit limitation to be allocated to community development entities in connection with certain investments, financial counseling, and other services in distressed coal communities. "
77,Stop Paying U.S. in Peanuts Act,"[Sen. Flake, Jeff [R-AZ]]","This bill amends the Agricultural Act of 2014 to repeal the rules for peanuts under the nonrecourse marketing assistance loan program administered by the Department of Agriculture (USDA). (Under a nonrecourse marketing assistance loan, a farmer pledges a commodity as collateral and may deliver the pledged collateral to USDA to repay the loan.) "
78,Modernizing Government Travel Act,"[Sen. Lee, Mike [R-UT], Sen. Cassidy, Bill [R-LA], Sen. Carper, Thomas R. [D-DE], Sen. Booker, Cory A. [D-NJ], Sen. Johnson, Ron [R-WI], Sen. Rubio, Marco [R-FL]]","This bill requires the General Services Administration (GSA) to prescribe regulations to provide for the reimbursement of federal employees traveling on official business for the use of a transportation network company (e.g., Uber or Lyft) or innovative mobility technology. The Administrative Office of the United States Courts shall prescribe such regulations with respect to judicial branch employees."
79,Securing Energy Infrastructure Act,"[Sen. King, Angus S., Jr. [I-ME], Sen. Risch, James E. [R-ID], Sen. Heinrich, Martin [D-NM], Sen. Collins, Susan M. [R-ME], Sen. Crapo, Mike [R-ID]]","This bill establishes a two-year pilot program within the Department of Energy's (DOE)national laboratories to identify thesecurity vulnerabilities of certain entities in the energy sector, and research and test technology that can be used to isolate the most critical systems of such entities from cyber-attacks."
80,A bill to protect the right of individuals to bear arms at water resources development projects.,"[Sen. Boozman, John [R-AR], None, Sen. Crapo, Mike [R-ID]]",NA
81,Seniors Fraud Prevention Act of 2017,"[Sen. Klobuchar, Amy [D-MN], Sen. Collins, Susan M. [R-ME], Sen. King, Angus S., Jr. [I-ME]]","This bill directs the Federal Trade Commission (FTC) to establish an office within the Bureau of Consumer Protection to advise the FTC on the prevention of fraud targeting seniors and to assist the FTC in monitoring the market for mail, television, Internet, telemarketing, and recorded message telephone call (robocall) fraud targeting seniors."
82,Stop Subsidizing Multimillion Dollar Corporate Bonuses Act,"[Sen. Van Hollen, Chris [D-MD], Sen. Baldwin, Tammy [D-WI], Sen. Warren, Elizabeth [D-MA], Sen. Whitehouse, Sheldon [D-RI], Sen. Brown, Sherrod [D-OH], Sen. Merkley, Jeff [D-OR], None, Sen. Reed, Jack [D-RI]]","This bill amends the Internal Revenue Code, with respect to the $1 million limitation on the deductibility of employee compensation, to: (1) extend such limitation to any individual who is a current or former officer, director, or employee of a publicly-held corporation; (2) eliminate the exemption from such limitation for compensation payable on a commission basis or upon the attainment of a performance goal; and (3) make such limitation applicable to all publicly-held corporations that are required by the Securities and Exchange Commission to register securities and provide periodic reports to their investors. "
83,Promoting Women in Entrepreneurship Act,"[Sen. Klobuchar, Amy [D-MN], Sen. Heller, Dean [R-NV]]", This bill amends the Science and Engineering Equal Opportunities Act to authorize the National Science Foundation to encourage its entrepreneurial programs to recruit and support women to extend their focus beyond the laboratory and into the commercial world. 
84,A bill to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,"[Sen. McCain, John [R-AZ]]"," (Sec. 1) This bill allows the first person, and only such person, appointed as Secretary of Defense after the enactment of this bill to be a person who is, on the date of appointment, not within at least three years after relief from active duty as a commissioned officer of a regular component of the Armed Forces. (Under current law, an individual may not be appointed as Secretary of Defense within seven years after relief from such active duty.)"
85,Restoring Access to Medication Act of 2017,"[Sen. Isakson, Johnny [R-GA], Sen. King, Angus S., Jr. [I-ME], None, Sen. Roberts, Pat [R-KS]]"," This bill repeals provisions of the Internal Revenue Code, as added by the Patient Protection and Affordable Care Act, that limit payments for medications from health savings accounts, medical savings accounts, and health flexible spending arrangements to only prescription drugs or insulin (thus allowing distributions from such accounts for over-the-counter drugs)."
86,Veterans Choice Continuation Act,"[Sen. McCain, John [R-AZ], Sen. Flake, Jeff [R-AZ], Sen. Cassidy, Bill [R-LA], Sen. Cruz, Ted [R-TX], Sen. Lankford, James [R-OK], Sen. Tillis, Thom [R-NC]]","This bill amends the Veterans Access, Choice, and Accountability Act of 2014 to eliminate the August 7, 2017, termination date for the Veterans Choice Program, which allows the program to operate until all of the money in the Veterans Choice Fund is expended. "
87,Stop Dangerous Sanctuary Cities Act,"[Sen. Cruz, Ted [R-TX], Sen. Inhofe, James M. [R-OK], Sen. Cotton, Tom [R-AR], Sen. Capito, Shelley Moore [R-WV], Sen. Perdue, David [R-GA], Sen. Boozman, John [R-AR], Sen. Johnson, Ron [R-WI], Sen. Wicker, Roger F. [R-MS], Sen. Blunt, Roy [R-MO], Sen. Fischer, Deb [R-NE], Sen. Hoeven, John [R-ND], Sen. Cornyn, John [R-TX], Sen. Roberts, Pat [R-KS], Sen. Daines, Steve [R-MT], Sen. Cassidy, Bill [R-LA], Sen. Paul, Rand [R-KY], Sen. Risch, James E. [R-ID], Sen. Barrasso, John [R-WY], Sen. Crapo, Mike [R-ID], Sen. Rounds, Mike  [R-SD], Sen. Hatch, Orrin G. [R-UT], Sen. Kennedy, John [R-LA], Sen. Isakson, Johnny [R-GA], Sen. Cochran, Thad [R-MS], None, Sen. Toomey, Pat [R-PA]]","This bill prohibits a sanctuary jurisdiction from receiving grants under certain Economic Development Assistance Programs and the Community Development Block Grant Program. A sanctuary jurisdiction is a state or political subdivision that has a statute, policy, or practice in effect that prohibits or restricts: (1) information sharing about an individual's immigration status, or (2) compliance with a lawfully issued detainer request or notification of release request."
88,DIGIT Act,"[Sen. Fischer, Deb [R-NE], Sen. Booker, Cory A. [D-NJ], Sen. Gardner, Cory [R-CO], Sen. Schatz, Brian [D-HI], None, Sen. Fischer, Deb [R-NE]]",This bill requires the Department of Commerce to convene a working group of federal stakeholders to provide recommendations and a report to Congress regarding the growing number of connected and interconnected devices known as the Internet of Things (IoT). The bill establishes a steering committee to be composed of stakeholders outside the federal government to advise the working group.
89,"A bill to amend title 46, United States Code, to exempt old vessels that only operate within inland waterways from the fire-retardant materials requirement if the owners of such vessels make annual structural alterations to at least 10 percent of the areas of the vessels that are not constructed of fire-retardant materials and for other purposes.","[Sen. McCaskill, Claire [D-MO], Sen. Blunt, Roy [R-MO], Sen. Brown, Sherrod [D-OH], Sen. Portman, Rob [R-OH], Sen. Cassidy, Bill [R-LA], Sen. Cotton, Tom [R-AR], Sen. Boozman, John [R-AR], Sen. Kennedy, John [R-LA]]","Vessels in operation before January 1, 1968, that operate within inland waterways are exempted from the new requirements until December 1, 2028. Exempt vessel operators must follow certain requirements including notifying prospective passengers in writing prior to the sale of any ticket for boarding and making annual structural alterations to at least 10% of areas of the vessel that are not constructed of fire-retardant materials."
